"player_name" "player_api_id" "overall_rating" "gk_attributes" "num_appearances" "num_leagues"
"1" "Patryk Rachwal,18" 2625 63 153 90 1
"2" "Diego Mainz" 2752 72 53 81 1
"3" "Jose Dorado" 2768 75 128 71 1
"4" "Ignacio Gonzalez" 2770 74 148 16 2
"5" "Alberto Rey" 2790 73 144 50 1
"6" "Javier Jimenez" 2796 69 340 1 1
"7" "Pablo Hernandez" 2802 82 146 144 2
"8" "Ruben Perez" 2805 76 141 131 1
"9" "Ivan Perez" 2857 72 143 3 1
"10" "Vicente Sanchez" 2862 76 146 17 1
"11" "Gregory Lacombe" 2907 68 135 6 1
"12" "Ugur Inceman" 2973 72 147 16 1
"13" "David Rivas Rodriguez" 2977 82 104 5 1
"14" "Jorge Molina" 2983 75 139 71 1
"15" "Sergio Aragones" 2984 75 364 38 1
"16" "Alexandre Hauw" 3140 69 136 42 1
"17" "Marat Izmailov" 3204 81 156 42 1
"18" "Kelly Berville" 3263 67 115 19 1
"19" "Abdelmalek Cherrad" 3264 62 98 1 1
"20" "Oscar Sanchez" 3316 71 108 6 1
"21" "Vincent Euvrard" 3329 64 130 85 1
"22" "Luca Belingheri" 3377 72 138 1 1
"23" "Aleksander Radosavljevic" 3441 71 138 74 1
"24" "Peter Halmosi" 3512 75 143 4 1
"25" "Alexandr Kerzhakov" 3517 82 149 17 1
"26" "Andrey Arshavin" 3520 86 159 70 1
"27" "Lee Wilkie" 4747 73 128 36 1
"28" "Boban Grncarov" 4863 66 54 25 1
"29" "Iriney" 4902 77 145 68 1
"30" "Tim Clancy" 4939 64 116 97 1
"31" "Sebastian Olszar" 4999 59 108 49 1
"32" "Ibrahim Sidibe" 5016 65 50 69 1
"33" "Jeroen Verhoeven" 5044 68 344 21 1
"34" "Wilko de Vogt" 5047 61 309 10 1
"35" "Sander Duits" 5063 68 61 106 1
"36" "Gudmundur Steinarsson" 5184 62 108 5 1
"37" "Manuel Silas" 5192 72 146 52 1
"38" "Remy Gomis" 5202 73 139 163 1
"39" "Laurent Batlles" 5217 77 140 102 1
"40" "Raffaele Rubino" 5223 63 52 7 1
"41" "Iban Javier Cuadrado" 5233 73 132 18 1
"42" "Julio Alvarez" 5243 76 149 38 1
"43" "Perez Richi" 5247 67 118 16 1
"44" "Gary Coulibaly" 5272 68 126 27 1
"45" "Ifet Taljevic,23" 5362 60 121 24 1
"46" "Marjan Petkovic" 5440 67 332 5 1
"47" "Freddy Mombongo-Dues" 5468 62 48 7 1
"48" "Yann Jouffre" 5610 75 133 141 1
"49" "Bertrand Robert" 5629 73 101 3 1
"50" "Jeremy Blayac" 5631 68 113 13 1
"51" "Dimitri Bulykin" 5662 73 124 45 1
"52" "Gerry Koning" 5686 65 138 28 1
"53" "Rowin van Zaanen" 5687 66 52 20 1
"54" "Kees Kwakman" 5693 71 148 119 1
"55" "Charles Dissels" 5700 65 132 3 1
"56" "Otman Bakkal" 5703 75 149 74 1
"57" "Diederik Boer" 5710 70 352 53 1
"58" "Denis Dessaer" 6757 60 42 1 1
"59" "Oliver Vinamont" 6771 60 51 22 1
"60" "Roel van Hemert" 6798 60 55 14 1
"61" "Jonas Ivens" 6800 68 132 93 2
"62" "Brecht Verbrugghe" 6803 63 143 16 1
"63" "Pedro Kamata" 6824 72 128 1 1
"64" "Fabian Vargas" 6853 76 169 18 1
"65" "Santiago Acasiete" 6864 75 134 65 1
"66" "Fabian Canobbio" 6911 77 160 38 1
"67" "Toni Lehtinen" 7099 60 123 1 1
"68" "Sebastian Sorsa" 7206 61 48 2 1
"69" "Roni Porokara" 7226 69 145 16 1
"70" "Kasper Haemaelaeinen" 7284 72 130 81 1
"71" "Anssi Jaakkola" 7334 63 310 12 1
"72" "Tom van Hyfte" 7604 67 64 33 1
"73" "Kristian Nushi" 7616 63 133 97 1
"74" "Anthony Favre" 7621 60 300 51 1
"75" "Thierno Bah" 7627 63 76 55 1
"76" "Tibert Pont" 7628 57 41 27 1
"77" "Jerome Schneider" 7663 55 56 36 1
"78" "Josip Colina" 7681 59 128 49 1
"79" "Alessandro Iandoli" 7683 66 49 57 1
"80" "Michele Polverino" 8777 60 97 31 1
"81" "Marco Perez" 8780 73 47 3 1
"82" "Stefan Nater" 8784 58 49 87 1
"83" "Thomas Reinmann" 8800 63 63 117 1
"84" "Angelo Raso" 8837 57 148 43 1
"85" "Cristian Florin Ianu" 8840 66 140 60 1
"86" "Marco Padalino" 8881 75 143 38 2
"87" "Antoine Rey" 8893 65 62 31 1
"88" "Nikica Jelavic" 8922 78 110 120 2
"89" "Ryan Thomson" 8925 52 49 11 1
"90" "Hrvoje Cale" 8930 72 114 17 1
"91" "Dino Drpic" 8932 72 108 15 1
"92" "Mile Jedinak" 8985 76 136 78 1
"93" "Mensur Mujdza" 9079 73 143 87 1
"94" "Ivica Vrdoljak" 9086 70 43 112 1
"95" "Ivan Radeljic,18" 9124 67 125 18 1
"96" "Tomislav Dujmovic" 9128 72 141 9 1
"97" "Yasin Karaca" 9144 61 131 8 1
"98" "Joost Volmer" 9149 65 101 10 1
"99" "Janos Balogh" 9183 71 362 34 1
"100" "Tibor Tisza" 9203 65 59 3 1
"101" "Peter Czvitkovics" 9213 70 57 11 1
"102" "Balazs Toth" 9307 66 126 44 2
"103" "Oleksandr Shevelyukhin" 9449 67 46 75 1
"104" "Alejandro Dominguez" 10348 78 150 39 1
"105" "Stanislav Vlcek" 10404 75 148 1 1
"106" "Evaldas Razulis" 10474 62 48 5 1
"107" "Diniyar Bilyaletdinov" 10491 79 155 33 1
"108" "Andris Vanins" 10637 72 361 223 1
"109" "Robbie Haemhouts" 10880 66 61 59 1
"110" "Robert Jez" 10933 69 71 102 1
"111" "Pavel Krmas" 10950 69 122 93 1
"112" "Petr Jiracek" 10967 76 130 38 1
"113" "Maros Klimpl" 10984 73 123 20 1
"114" "Tomas Cerny" 11024 74 370 135 1
"115" "Roman Hubnik" 11027 74 144 34 1
"116" "Vojtech Schulmeister" 11038 63 127 2 1
"117" "Matej Krajcik" 11049 70 137 6 1
"118" "Michal Svec" 11052 70 135 37 1
"119" "Csaba Horvath" 11061 66 122 114 2
"120" "Konstantin Engel" 11242 67 59 2 1
"121" "Roman Prokoph" 11263 65 104 11 1
